text,label
音楽取り込みに買いました。 新しくパソコン買ったら、前の外づけハードディスク使えなくて、壊れたのかと、新しいの探していました。 読み込みの速度は取り込んだ？一瞬でした。 薄くて軽く、持ち運びには便利です。読み取る際の音も非常に静かで作業に気にならない程度でした。 新しく買ってよかったです。,positive
かなり酸っぱいです。 酸っぱいのが苦手な人には向きません。 私はダメでした。好みの問題ですね。,negative
iijのSIMを利用していますが3Gしか接続出来ません。スロット1、2の入れ替えや初期化しても同じ結果でした。docomoのバンドに対応していると記載があるのに接続出来ません,negative
全く持ってカスです。蓋は途中までのサイズだし。エレコムだから買ったけど失敗です。,negative
コンパクトで良いかと思い購入しましたが、匂いはきついし効果も今ひとつな気がします。 ロールオンの無香料に戻します。,negative
充電が楽になるかと期待して買ったのですが、向きによっては充電されないので、上に置いてランプがちゃんと反応するか設置に時間がかかるので、普通のiPhone付属のコンセントの方が楽で早いので使ってないです。 あと、充電もなかなかされずそのわりにはiPhoneがかなり熱くなるので壊れるかと心配ですので、この手の商品はこんなに熱くなるのが普通なのでしょうか？ なので☆はマイナスです。,negative
漫画で描かれているので、サクッと気がねなく読めました。 運動もそれほど、キツくないので少しずつ試してみてます。,positive
配送予定日を過ぎて問い合わせしても何も連絡無し。伝票番号も無いし詐欺なのでしょうか。皆さんお気をつけください,negative
ご自分で修正できる方にしかオススメしません お値段相応、マグポーチ部分は左右対称なのですがカンガルー部分の蓋や肩ベルト部分の位置が全体に左へズレたまま縫製されていました しかも肩ベルト部分のDリングの固定部分も左右でまるで高さの違う位置で縫製されている状態 肩ベルト調整する後部のナイロンテープが短くて胸囲のある人はギリギリの長さだと思います。,negative
ポストカード付きの限定盤を探してたので、購入できて良かった 丁寧な梱包でした,positive
窓枠にピッタシはまるので、余計なことを考えなくていいです。夏場の車内泊では快適に寝ることができます。当然ですが、外の音がよく聞こえるようになります。窓はキツそうなので途中までしか閉められません。,positive
側面はサーモンピンクに見えますがオレンジに近かったです。 袋に取れない汚れがあり返品しました。,negative
包装箱が段ボール箱の中にクッション材にくるまれて入っていたにも関わらず一部がつぶれていた。 中に入っている説明書は繰り返しめくったような跡があり、ページの端が湿ったあとのようにしおれていた。 商品自体には目立った汚れはないようなので返品交換が面倒なのでそのまま使用している。 すでに他で購入したX5Aと比較して防音の性能は変わらないようである。X5Aよりやや割高で-SVとついていることに期待した私がバカだった。,negative
つばが広くて、安心感があります。頭位は自分で調節ができますので、使いやすいです。折りたたんで、バックに入れられますので、持ち運びがしやすいです。別色も欲しいです。,positive
直ぐにほつれます。品質は悪い方だと思います。,negative
価格が手頃なので購入、安価な中華製には信頼がおけず 高価な高性能を謳ったものに、さほど違いが感ぜず 高価なものも落としたり、傷つけたりしてはお終いなので このぐらいが良いです。,positive
長年愛用させていただいていたのですが、外れてしまったみたいで、今日お気に入りのピアスを落としてしまいました。ショックです。,negative
発送はとても早かったので大満足なのですが、商品が…×× まったく辛くないです。 こちらの商品に限らず、今の時期は辛い青唐辛子がとれない？みたいなことも韓国人からきいてい聞いているので仕方がないかも知れませんが。 辛い青唐辛子を求めていたので残念でした。,negative
「生まれながらにVRのみで生活する民族」というコンセプトは面白いですが、設定が甘いです。 例えばスー族がVR装置の開発、装着を始めてから数十年しか経っていないのに、 VR式の葬儀方法が伝統化していたり、死後の概念が変革しているなど、既に文化がVRの世界に最適化している点に違和感を覚えます。 (生まれながらにVRを装着した世代がやっと死に始めた時期だとおもうので) 他にも、表現したいこと、言わんとしていることはわかるものの 的確でなかったり無理やりであったりして、小説として練れていない印象です。 後半はアイドルマスターというゲームの体験記になっています。 正直こちらは読めたものじゃありませんでした。,negative
前回購入したときは、保証書もつき、照りも輝きも綺麗で気に入ったので、もう一度購入しました。 が、今回は保証書もなく、ホントにあこや真珠なの？？と思うような色と輝きのなさ。 貝パールなのかと疑っています。 値段がお安いので、貝パールだとしてもこんなものか…と納得して使っています。 前回を知っているだけに、残念です。,negative
外掛けフィルタのパイプ掃除用に購入しました。 確かに細くて、曲がりがよく細かいところに侵入できるのはよいのですが、汚れを落とそうと力を入れるとクニャクニャ曲がってしまい汚れが落とせませんでした。もう少し芯が太く、固めがよいと思います。,negative
使い始めてひと月ぐらいでキーキーと音がするようになりました。刃のセッティングがうまくいってないのかも知れません。バッテリーももちません。数回使うと止まりますが、一瞬でも充電ケーブルを接続すると復旧します。旅行などで持ち出す時は充電のケーブルが必携です。 切れ味はシャープですが肌当たりには違和感があります。,negative
キンドルだからこそ 5冊分ひとまとめになっているのは 非常に助かります。 読み応えもありますし 選び直す手間も不要です。 内容は言わずもがな 懐かしさを感じつつも面白く 普段の生活を見直して ファミリーカーからスポーツカーに 乗り換えたくなります。,positive
父母のプレゼントで 父母のプレゼントで 父母のプレゼントで2台買ってみましたが、充電ランプが2個目の点滅状態から動かなくなる。 電流を計ってみると、0mAになってた。 充電をやめ電源を入れると発熱はするが、偏っていてなんかおかしい。 しばらく使って、充電するとランプは変わらずだけど、電流は2.5A流れてるし充電はしてる見たい。 電流が0になっても表示は2個目のランプの点滅からずっと変わらずです。 他の方もレビューで、廃線の不手際を書いておられたし、あまり信頼度がないような気がします。 返品の送料とかと待ち時間のことを考えてもう一台買ってみました。 これで駄目ならあきらめようと思います。 参考にしてください。,negative
あごのごわつきがかなりなくなりました。目に見える汚れはとれました。,positive
綺麗に誇りを取って張りましたが端っこが浮いてます 何度押さえてもダメです,negative
大好きな鎧武のベルトが手に入って、息子が大喜びしております！とても綺麗な状態で届きました。ありがとうございました！,positive
可愛くて娘にあげたのですが、音漏れ酷いので用無しに。,negative
安かったので届くまで品質が気になりましたが、商品は全く問題なかったです！保護ガラスは落としたりぶつけたりしてすぐにヒビが入ってしまうので、どうせ割れちゃうなら安い方がいいですよね。もしまた落としてない割れた際には、次もこちらで購入させて頂きたいです。,positive
注文して２日後に到着ありがとうございます。,positive
iPhone6で使用していたため、安心して購入しました。以前よりも質感は上がったように思います。,positive
家具は比較的多い…子が見ることができなくてよく机の角にぶつかって、今透明な防護机の角があって、私は安心しました……。もう心配しないで,positive
通常の靴のサイズは２５.５cmですが、大きいということで２５cmを購入、それでもまだ大きい。「メッシュ」と書いてあったが、これはメッシュじゃない、涼しくない。中敷き（貼り付けてある）がツルツルしていて気持ち悪い。ソール以外思ったよりフニャフニャ。,negative
見たい月の所をさっと開けるので使いやすいです。,positive
購入して7ヶ月経ちますが、私には使いにくい。 良くないところ。 まず購入して思った事は、他の方のレビューにもありますが、 電源コードが短い！その為購入して音楽をすぐに聴きたいと 思ってる方がいるなら注意が必要かも？ 私は前のオーディオを高い（腰のあたり）位置においていたため 電源コードが届かず仕方なく他の棚（カラーボックス横向き） に変えました。延長コードは嫌いです。 CDが自動再生しない。これはまだ良いですが、リピート機能 電源を入れて音楽を聴く度に自分でOFF ONE ALLのどれかを選択しなければ ならなく、毎日音楽を聴く自分には面倒くさくて仕方がない。 カーオーディオでさえ最後の曲が終われば自動で一番最初の曲に戻るのに・・・ 本体、リモコンの反応が鈍い。（電池は交換済み） ボタンを押してもワンテンポ遅くすぐには切り替わってくれない。 良いところ 音楽が聴ける事！ 音響が良い！ オーディオはこれまで5回ほど買い換えましたが（すべて故障） 自分の中では一番使いにくいです。 普通に音楽が聴けて別にそんな事気にしない！？と、思う方がいれば 価格も手ごろだし、購入を考えてみては？,negative
長時間飼い犬を留守番させる予定ができ、餌やり機を探していて見つけました。 価格もリーズナブルで色も可愛く購入。 届いてから試しに使ってみると、シャッターの開く音が大きく犬がビクッとしてしまいました。 中に餌があると理解させてから使った方が恐怖心を持つことなく使えると思いました。 シャッターを閉めるのにも少しコツがあり、慣れれば何の問題もありませんでした。 実際にセットして出かけ帰ってくると、トレーの中がしっかり空になっててちゃんとご飯食べられたのだと安心。 セット時間の誤差はどの程度かわかりませんが、説明書には前後30分と書いてあったのでそれくらいかと。。。 トレーも取り外せてしっかり洗えるので清潔でいいです。 購入してよかったです。,positive
外れを引いたのかもしれませんが、使用頻度は週一回程度で4ヵ月で壊れました。 電源ボタンを押すと青いランプが点灯したままで、スタンバイモードの赤ランプが点灯せず撮影できません。 もう少し耐久性があれば便利だと思います、綺麗に撮影できていたのでせめて1年は使いたかった。,negative
前回、2頭いる柴犬の14キロの子にLサイズを購入。とても大きかったので今回は柴犬8キロの子にMサイズを購入。小さすぎ！LとMの差がありすぎです。Mでは傷口に届いてしまいますが、Lでは負担が多すぎます。別の製品を買わねばなりません。,negative
ライブ行けなかったのでdvdを観ました。良かったです。,positive
孫の1歳の誕生日パーティー用に洋服を探していて見つけました❗️ 普段着てる物は80サイズは小さめで90だと少し大きいという感じなので、90サイズを購入しました。 ズボンとシャツの袖は長かったけど、幅はピッタリ❗️ 生地は伸縮性が無いので太めだったら厳しかったかもしれなません。 シャツの縫製が少し雑でしたが、ギンガムチェックなので目立ちませんし、このお値段にしては上等です❗️ ファーストバースデーとてもカッコ可愛く決まってました❗️,positive
肩こりと足裏の疲れが酷くなってきたので、価格も手頃な後らの商品を購入しました。 振動や強さも20パターン変えれるので重宝しております。 音も静かなので使いやすいです！ 初期不良で5回目の使用で動かず問い合わせたところで(1日内）迅速丁寧な対応をいただきました2日目で新品届きました.又利用したいと思いました。,positive
折れそう！安いだけあって弱々しい感じです。高い所洗うときはなおさら折れそうです,negative
ファスナーを閉めたら壊れました。 星などつけられません。 不良品です。,negative
過去何十年も漫画を見てきましたが、女性のさまざまな性格の登場人物像を、描き分けているのは桁違いにすごいです。普通長編まんがでも十人程度がせきのやまで、あとは顔こそ違えどほとんど似た人物の性格ばかりです。 主人公を引き立てる色々な脇役がこの作品を飽きずにひっぱって盛り上げていると思います。 脇役たちガンバレ！！,positive
初めてのワイヤレスでしたが、スマホとの接続も楽で音の質もよくていいです。 想像よりいいものを買えたのでよかったです。,positive
