premise,hypothesis,label
Conceptually cream skimming has two basic dimensions - product and geography .,Product and geography are what make cream skimming work .,1
you know during the season and i guess at at your level uh you lose them to the next level if if they decide to recall the the parent team the Braves decide to call to recall a guy from triple A then a double A guy goes up to replace him and a single A guy goes up to replace him,You lose the things to the following level if the people recall .,0
One of our number will carry out your instructions minutely .,A member of my team will execute your orders with immense precision .,0
How do you know ? All this is their information again .,This information belongs to them .,0
yeah i tell you what though if you go price some of those tennis shoes i can see why now you know they 're getting up in the hundred dollar range,The tennis shoes have a range of prices .,1
my walkman broke so i 'm upset now i just have to turn the stereo up real loud,I 'm upset that my walkman broke and now I have to turn the stereo up really loud .,0
"But a few Christian mosaics survive above the apse is the Virgin with the infant Jesus , with the Archangel Gabriel to the right ( his companion Michael , to the left , has vanished save for a few feathers from his wings ) .",Most of the Christian mosaics were destroyed by Muslims .,1
( Read for Slate ' s take on Jackson 's findings . ),Slate had an opinion on Jackson 's findings .,0
Gays and lesbians .,Heterosexuals .,2
"At the end of Rue des Francs-Bourgeois is what many consider to be the city 's most handsome residential square , the Place des Vosges , with its stone and red brick facades .",Place des Vosges is constructed entirely of gray marble .,2
"I burst through a set of cabin doors , and fell to the ground-",I burst through the doors and fell down .,0
Fun for adults and children .,Fun for only children .,2
It 's not that the questions they asked weren 't interesting or legitimate ( though most did fall under the category of already asked and answered ) .,All of the questions were interesting according to a focus group consulted on the subject .,1
"Thebes held onto power until the 12th Dynasty , when its first king , Amenemhet Iwho reigned between 1980 1951 b.c. established a capital near Memphis .",The capital near Memphis lasted only half a century before its inhabitants abandoned it for the next capital .,1
"I don 't mean to be glib about your concerns , but if I were you , I might be more concerned about the near-term rate implications of this $ 1 .",I am concerned more about your issues than the near-term rate implications .,2
Issues in Data Synthesis .,Problems in data synthesis .,0
well you see that on television also,"You can see that on television , as well .",0
Vrenna and I both fought him and he nearly took us .,Neither Vrenna nor myself have ever fought him .,2
This analysis pooled estimates from these two studies to develop a C-R function linking PM to chronic bronchitis .,The analysis proves that there is no link between PM and bronchitis .,2
He turned and smiled at Vrenna .,He smiled at Vrenna who was walking slowly behind him with her mother .,1
We sought to identify practices that were commonly implemented by the agencies within the past 5 years .,We want to identify practices commonly used by agencies in the last 5 years,0
The other men shuffled .,The other men were shuffled around .,0
States must show reasonable progress in their state implementation plans toward the congressionally mandated goal of returning to natural conditions in national parks and wilderness areas .,Itis not necessary for there to be any improvement .,2
well it 's been very interesting,It has been very intriguing .,0
He started slowly back to the bunkhouse .,He returned slowly to the bunkhouse .,0
and it 's it 's quite a bit i think six something is the state and and uh the rest of the pie goes elsewhere but we 're in a particular part of the state that 's pretty well off so it 's it 's like we get a lot of that back as far as local taxation goes,I do not know exactly where the local taxes go .,1
"They 're made from a secret recipe handed down to the present-day villagers by their Mallorcan ancestors , who came here in the early 17th century as part of an official repopulation scheme .",The recipe passed down from Mallorcan ancestors is known to everyone .,2
yeah well you 're a student right,Well you 're a mechanics student right ?,1
it really is i heard something that their supposed to be starting a huge campaign in New York about um child abuse and stopping child abuse and it 's supposed to be like it 's starting there supposed to be like a big nationwide campaign and you know so hopefully that will take off and really do something i don 't know there 's just,It 's unfortunate that nobody is organizing a child abuse campaign .,2
Postal Service were to reduce delivery frequency .,The postal service could deliver less frequently .,0
"And in another shift in the economy , it was found that lamb could be raised more cost-effectively on lowland farms in part because of the richer , more nutritious grazing land available there and as a result Lakeland farms became less profitable .",Another shift in the economy was found to be more nutritious .,0
The rule contains information collection requirements which will allow EPA to determine that detergent additives which are effective in controlling deposits are used and that emission control goals are realized .,The rule has data collection requirements which aid the EPA to realize their emission control goals .,0
"Almost every hill has to the northeast there 's a Moorish fort ; no fewer than four ruined fortresses guard the harbour entrance ; and two more , still in good repair the Atalaya and Galeras castles protect the sea-front arsenal , of vital importance to Spain 's military .",There are no castles Atalaya and Galeras .,2
Were they in there ?,Were they supposed to be in there ?,1
"Felicia 's Journey takes place behind the eyes of its central a young Irish girl , Felicia , who crosses the sea to England in a hopeful quest to find the father of her unborn child ; and the fat , middle-aged catering manager , Hiditch , who takes a paternal interest in the lass when it becomes clear that her young man has caddishly given her the slip .",The woman did not care where the man was as long as it was far .,2
